"","text","likes","retweets","timestamp","id"
"1","Every single human being deserves to be treated with dignity. Everyone. The poor and the powerless, the marginalized and vulnerable, the “least of these.” That has been the animating principle of my life and my faith. https://t.co/BwmOVQjxVk",11574,2423,2020-01-01 18:35:00,1212442112219844608
"2","With just over one month until the Iowa Caucus, we need all hands on deck to talk with folks about what's at stake in this election.

Join our team today and let's get to work: https://t.co/gnaFCAUzju",1457,368,2020-01-02 00:01:00,1212524152608833536
"3","This election is about the soul of our nation — and Donald Trump is poison to our soul. https://t.co/cwzycLJV0d",44886,10192,2020-01-02 01:05:00,1212540258681851904
"4","Every day that Donald Trump remains in the White House puts the future of our planet at risk. We have to beat him this November and take immediate action to address the climate emergency. https://t.co/nMDFaCV4Up",9581,2005,2020-01-02 02:07:00,1212556035283705856
"5","It was a privilege to work with @JulianCastro during the Obama Administration, and a true honor to be in this talented field of candidates with him. He led his historic campaign with grace and heart and used his platform to lift the voices of others. Thank you, Mr. Secretary.",17156,2284,2020-01-02 16:10:00,1212768009430937600
"6","Like Vicky said, we need a president who will restore integrity to the White House. https://t.co/i8k2OwsK7k",6657,1297,2020-01-02 17:55:00,1212794433617436672
"7","I'm excited to share that we raised $22.7 million this last quarter — our biggest quarter so far this campaign! Thank you to everyone who chipped in what you could — your support means the world to me. You truly are the heart of our campaign. https://t.co/L53z9YbLsX",14346,2351,2020-01-02 19:01:00,1212811057313583104
"8","If you're a teacher or a firefighter, you're probably paying more in taxes than Amazon or Netflix. We've got to make sure corporations pay their fair share.",18167,2961,2020-01-02 23:01:00,1212871441093255168
"9","Before the holidays, Jill walked across the Gateway International Bridge into Matamoros, Mexico, where families are enduring inhumane conditions. Jill witnessed the cruelty of Trump's policies and the resiliency of those risking their lives to seek asylum. https://t.co/3KLjtwEtNE",3134,1115,2020-01-03 00:49:00,1212898749305020416
"10","We're just one full day into 2020 and there have already been at least three mass shootings across the country.
 
Enough is enough. We have a moral obligation to do everything in our power to end this gun violence epidemic.",9692,1933,2020-01-03 01:30:00,1212908938590670848
"11","Donald Trump stacked the Supreme Court with justices to try to overturn Roe v. Wade—and now Republicans are seizing the opportunity to restrict a woman's constitutional right to choose. We have to fight these attacks and ensure this choice remains between a woman and her doctor. https://t.co/5goWP2Bkuv",7261,2372,2020-01-03 02:22:00,1212922129886388224
"12","My statement on the killing of Qassem Soleimani. https://t.co/4Q9tlLAYFB",24424,6751,2020-01-03 04:32:00,1212954848666234880
"13","Our world has been set on edge by an erratic, unstable, and dangerously incompetent commander in chief. The stakes could not be higher. Every day that Donald Trump directs American national security is a dangerous day for the United States and the world. https://t.co/EoWjabVp3u",37963,10453,2020-01-03 16:15:00,1213131655474376704
"14","We need a leader who will be ready on day one to pick up the pieces of Donald Trump's broken foreign policy and repair the damage he has caused around the world. https://t.co/mB6i1U2yPv",15405,3584,2020-01-03 21:57:00,1213217722508570624
"15","The prospect of direct conflict with Iran is greater than ever. Does Donald Trump have a strategy for what comes next?

Nothing we have seen from this Administration suggests that they are prepared to deal with the risks we now confront. https://t.co/RF7DD3rcDb",14234,3977,2020-01-04 01:05:00,1213265034601611264
"16","On the trail, I hear countless stories from folks whose lives have been changed by Obamacare. We can't afford to start over—we need a president who will protect and build on it to ensure everyone has access to quality, affordable care. https://t.co/99TUE7n9Gs",10866,2638,2020-01-04 17:40:00,1213515434420391936
"17","We can overcome four years of Donald Trump, but if we give him eight years in the White House he will forever and fundamentally alter the character of this nation. We can't let that happen. https://t.co/LPhHZS08UE",25642,5631,2020-01-04 20:20:00,1213555699671851008
"18","This simply shouldn’t happen in America. Folks deserve access to affordable, quality long-term care in their homes. 

We have to fight for Alex and those who use long-term care. https://t.co/xOcxW2YJPt",1824,450,2020-01-04 21:29:00,1213573089910493184
"19","The world is burning, yet Donald Trump continues to deny the evidence of climate change before all of our eyes. We have to get him out of the White House and take urgent global action to combat the climate crisis before it’s too late. https://t.co/z6EK9uYXzO",23357,5304,2020-01-04 23:41:00,1213606448699232256
"20","The more the walls close in on this guy, the more irrational he becomes. https://t.co/Nba7Color1",44141,8296,2020-01-05 03:26:00,1213663155743842304
"21","Hey @realDonaldTrump, do you think the American people want another war in the Middle East? Des Moines certainly doesn’t. https://t.co/uFgQuqg1oL",14803,3235,2020-01-05 19:40:00,1213908021304332288
"22","This is a crisis of Donald Trump’s own making. He claimed pulling out of the Iran deal would deter Iranian aggression and result in a better deal. He has failed on both counts.

He is the most erratic and incompetent commander in chief we’ve ever had. https://t.co/wHhWJA1Zhm",50500,12729,2020-01-05 22:48:00,1213955345372065792
"23","Our Statue of Liberty invites in the tired, the poor, the huddled masses yearning to breathe free. But Donald Trump has slammed the door in the face of families fleeing persecution and violence. Jill traveled to Matamoros to shed light on how these policies hurt asylum seekers. https://t.co/2Bwwl2pEzq",4339,1234,2020-01-06 00:32:00,1213981505443287040
"24","I stand in solidarity with those marching in New York against the rise of anti-Semitism. This is what the battle for the soul of our nation looks like — and it's up to all of us to reject intolerance in all its forms and give hate no safe harbor. https://t.co/XyTOdFhpKM",8477,1611,2020-01-06 00:56:00,1213987660802465792
"25","Let's be clear: Donald Trump does not have the authority to take us into war with Iran without Congressional approval. A president should never take this nation to war without the informed consent of the American people.",44760,8448,2020-01-06 19:30:00,1214267892482469888
"26","On Día de los Reyes, as Christmas comes to a close, we are reminded of the call of the three kings: to give of ourselves without expectation, seek peace no matter how long the journey, and know that a bright future is within reach. Jill and I wish a Happy Three Kings’ Day to all!",3478,567,2020-01-06 21:31:00,1214298343435915264
"27","Trump wants to ignore climate science when making infrastructure decisions. In the Biden Administration, every dollar spent toward rebuilding our roads, bridges, buildings, the electric grid, and our water infrastructure will be used to reduce and withstand a changing climate. https://t.co/QYjbobZQAD",5046,1225,2020-01-07 00:18:00,1214340404289703936
"28","At 1:00 PM, I'll be speaking about the escalating situation with Iran and the imperative need to restore respected, responsible, and dignified leadership on the world stage. Tune in to watch live: https://t.co/wjXqg8F4Z9",3823,935,2020-01-07 17:57:00,1214607032113913856
"29","Donald Trump is the most reckless &amp; incompetent commander in chief we've ever had. Every day he directs American national security is a dangerous day for the world.

We have to get him out of the White House. Chip in to help make him a one-term president: https://t.co/rvjLIX0Fxy",3886,834,2020-01-07 19:20:00,1214627763832807424
"30","Nicolás Maduro is a dictator. I strongly condemn his regime’s violent takeover of the Venezuelan National Assembly, the country’s sole remaining democratic institution. https://t.co/mzrg9e8t5X",3151,1289,2020-01-07 20:14:00,1214641417160724480
